uuid	lineage	genotype	susceptibility
4b7792d6-bdd7-48be-88d7-ccfd00c8f187	3069	KL47-OL101	
13636f8c-a85e-406c-8a22-395034199e30	1997	KL28-O2v1	
47164f2e-373a-4452-9821-6fb0b9845c13	231	KL64-O1v1	
569ddf56-00b1-4ccc-971b-7e1e1e9d6ac8	29	KL30-O1v2	
71253a08-57f1-4dc1-9ded-88a1b601ec5f	29	KL30-O1v2	
9cf31904-7768-4f55-838c-b6f30cd8d49a	3057	KL30-O1v1	
bcab0ed9-d9fe-4f0c-94f4-1b6a6a926a70	1997	KL28-O2v1	
4b5e43dc-a8d9-4616-a523-30912acbc5dd	792	KL25-O3/O3a	
7121b4fd-c45f-4b2b-bee9-a7edcb3385cf	461	KL25-O1v1	
d40bda2e-fe81-4694-bacc-a26840b75a7e	29	KL30-O1v2	
c4a22f31-a90f-4363-ae12-c239f83a727e	3058	KL51-O12	
c449735a-0d9d-44b8-85a7-5a427be4d8c3	3048	KL30-O1v1	
0e343c72-38a6-4f86-9bc3-a2f629c2dc88	323	KL21-OL104	
f379c067-e6ec-473d-be9a-43979c6c286d	37	KL14-OL104	
9156af7f-7c8a-433c-99c0-09b3016e0c85	323	KL21-O3b	
f15324e8-3708-4d56-9b7c-25f84c64cff2	86	KL2-O1v1	
e1df8a1f-9e2d-4cfd-974f-df9000af8056	105	KL102-O2v2	
f19b3454-c1cb-41d2-8896-5bf5b1e1b180	105	KL102-O2v2	
0d692ac7-9ac9-436f-b7ae-4b280ee3157a	34	KL38-O3b	
c1a41c61-6c88-4d99-87f9-86b9efc62541	792	KL25-O3/O3a	
971a3569-d8ee-410d-92b8-1f83523285b5	491	KL118-OL101	
a5ffc45b-96e4-4eeb-abed-7c209a4b2148	37	KL12-OL103	
bde23ee4-381a-4f09-b6af-4f897209f588	111	KL63-O1v2	
c9489535-16be-46eb-9e39-b1a1f28fd683	34	KL22-O2v1	
e3de0885-260c-4f25-800c-f53a6a44e85a	45	KL52-OL101	
191be257-328d-4fdf-add0-992ceb9cb75d	3051	KL20-O1v1	
d0b2963f-7cee-4504-9317-05f1ddfe3b53	1109	KL54-O1v2	
